,TIME,ZNI_HHWS_TEMP,ZNI_HHWR_TEMP,ZNI_VFD1_SPD,ZNI_VFD2_SPD,ZNI_VFD1_EN,ZNI_VFD2_EN,BCC_HHWS_TEMP,BCC_HHWR_TEMP,BCC_HHWR_FLOW,CHP_HHWS_TEMP,CHP_HHWR_TEMP,CHP_FLOW,CHP_B1_SS,CHP_B2_SS,CHP_B3_SS
461,2019-12-12 18:00:00,,,,,,,,,,,,,,,
462,2019-12-12 17:00:00,,,,,,,,,,,,,,,
483,2019-12-11 20:00:00,160.59,126.84,66.3,65.54,1.0,1.0,140.38,113.38,99.92,,,,,,
484,2019-12-11 19:00:00,170.75,126.81,66.67,65.97,1.0,1.0,140.38,114.24,97.77,,,,,,
485,2019-12-11 18:00:00,165.88,128.21,67.0,66.34,1.0,1.0,140.25,114.37,96.51,,,,,,
486,2019-12-11 17:00:00,163.69,127.59,66.77,66.17,1.0,1.0,140.53,114.42,89.85,,,,,,
487,2019-12-11 16:00:00,163.79,129.46,66.74,65.87,1.0,1.0,141.3,117.77,75.51,,,,,,
488,2019-12-11 15:00:00,162.94,128.89,66.96,66.31,1.0,1.0,144.99,119.62,74.53,,,,,,
489,2019-12-11 14:00:00,162.59,128.83,66.88,66.31,1.0,1.0,143.06,117.1,85.34,,,,,,
490,2019-12-11 13:00:00,159.17,130.04,66.49,65.75,1.0,1.0,143.52,113.22,93.29,,,,,,
491,2019-12-11 12:00:00,,,,,,,140.38,115.65,93.26,,,,,,
491,2019-12-11 12:00:00,,,,,,,140.38,115.65,93.26,,,,,,
492,2019-12-11 11:00:00,,,,,,,,,,,,,,,
492,2019-12-11 11:00:00,,,,,,,,,,,,,,,
492,2019-12-11 11:00:00,,,,,,,,,,,,,,,
493,2019-12-11 10:00:00,,,,,,,140.16,110.34,100.26,,,,,,
493,2019-12-11 10:00:00,,,,,,,140.16,110.34,100.26,,,,,,
494,2019-12-11 09:00:00,170.14,137.05,68.14,67.37,1.0,1.0,141.55,110.74,107.13,,,,,,
1178,2019-11-12 21:00:00,160.59,127.02,65.74,64.98,1.0,1.0,,,,,,,,,
1178,2019-11-12 21:00:00,160.59,127.02,65.74,64.98,1.0,1.0,,,,,,,,,
1179,2019-11-12 20:00:00,163.64,126.84,65.91,65.11,1.0,1.0,,,,,,,,,
1179,2019-11-12 20:00:00,163.64,126.84,65.91,65.11,1.0,1.0,,,,,,,,,
1180,2019-11-12 19:00:00,166.22,125.87,65.57,64.86,1.0,1.0,,,,,,,,,
1180,2019-11-12 19:00:00,166.22,125.87,65.57,64.86,1.0,1.0,,,,,,,,,
1181,2019-11-12 18:00:00,163.28,126.54,65.57,64.87,1.0,1.0,,,,157.52,151.14,429.21,0.0,0.0,1.0
1182,2019-11-12 17:00:00,162.75,126.02,65.63,64.9,1.0,1.0,,,,157.75,151.77,428.35,0.0,0.0,1.0
1183,2019-11-12 16:00:00,163.15,126.37,65.66,65.23,1.0,1.0,,,,158.58,152.68,428.44,0.0,0.0,1.0
1184,2019-11-12 15:00:00,164.41,128.63,64.81,64.14,1.0,1.0,,,,158.91,152.99,427.14,0.0,0.0,1.0
1185,2019-11-12 14:00:00,162.7,128.16,65.83,65.16,1.0,1.0,,,,158.18,152.49,423.96,0.0,0.0,1.0
1202,2019-11-11 21:00:00,,,,,,,,,,,,,,,
1202,2019-11-11 21:00:00,,,,,,,,,,,,,,,
1202,2019-11-11 21:00:00,,,,,,,,,,,,,,,
1273,2019-11-08 22:00:00,,,,,,,,,,166.48,159.04,429.49,0.0,1.0,1.0
1273,2019-11-08 22:00:00,,,,,,,,,,166.48,159.04,429.49,0.0,1.0,1.0
1274,2019-11-08 21:00:00,,,,,,,,,,164.68,156.57,429.49,0.0,1.0,1.0
1274,2019-11-08 21:00:00,,,,,,,,,,164.68,156.57,429.49,0.0,1.0,1.0
1275,2019-11-08 20:00:00,,,,,,,,,,157.44,150.47,355.37,0.0,1.0,0.17
1275,2019-11-08 20:00:00,,,,,,,,,,157.44,150.47,355.37,0.0,1.0,0.17
1276,2019-11-08 19:00:00,,,,,,,,,,164.22,157.02,405.24,0.0,1.0,0.67
1276,2019-11-08 19:00:00,,,,,,,,,,164.22,157.02,405.24,0.0,1.0,0.67
1277,2019-11-08 18:00:00,,,,,,,,,,155.81,149.23,355.15,0.0,1.0,0.15
