,TIME,HHWS_TEMP,HHWR_TEMP,FLOW,MBH
0,2019-12-31 23:00:00,154.16,140.42,118.77,815.95
1,2019-12-31 22:00:00,166.72,155.0,406.54,2382.32
2,2019-12-31 21:00:00,166.26,155.11,406.36,2265.46
3,2019-12-31 20:00:00,165.96,155.29,406.63,2169.37
4,2019-12-31 19:00:00,166.09,155.51,406.25,2149.06
5,2019-12-31 18:00:00,165.51,155.62,406.97,2012.47
6,2019-12-31 17:00:00,165.32,156.19,407.13,1858.55
7,2019-12-31 16:00:00,165.6,156.61,406.53,1827.35
8,2019-12-31 15:00:00,165.66,157.11,407.06,1740.18
9,2019-12-31 14:00:00,165.3,156.39,407.29,1814.48
10,2019-12-31 13:00:00,165.42,156.01,407.38,1916.72
11,2019-12-31 12:00:00,166.83,158.06,412.41,1808.42
12,2019-12-31 11:00:00,167.78,158.66,426.92,1946.76
13,2019-12-31 10:00:00,166.81,156.85,426.92,2126.06
14,2019-12-31 09:00:00,166.21,155.38,426.92,2311.77
15,2019-12-31 08:00:00,165.52,152.73,426.92,2730.15
16,2019-12-31 07:00:00,133.82,116.81,419.64,3569.04
17,2019-12-31 06:00:00,116.34,92.09,194.68,2360.5
18,2019-12-31 05:00:00,126.4,93.87,89.32,1452.79
19,2019-12-31 04:00:00,128.88,97.68,89.32,1393.39
20,2019-12-31 03:00:00,133.1,100.34,89.53,1466.5
21,2019-12-31 02:00:00,139.99,102.97,89.63,1659.05
22,2019-12-31 01:00:00,146.61,117.21,89.32,1313.0
23,2019-12-31 00:00:00,148.13,123.76,88.93,1083.61
24,2019-12-30 23:00:00,153.4,139.74,108.05,737.98
25,2019-12-30 22:00:00,165.46,153.78,389.32,2273.63
26,2019-12-30 21:00:00,165.86,153.81,389.42,2346.26
27,2019-12-30 20:00:00,165.82,154.15,389.7,2273.9
28,2019-12-30 19:00:00,166.12,154.64,389.07,2233.26
29,2019-12-30 18:00:00,165.98,155.07,387.71,2114.96
30,2019-12-30 17:00:00,165.66,155.23,386.52,2015.7
31,2019-12-30 16:00:00,165.64,154.88,385.42,2073.56
32,2019-12-30 15:00:00,167.19,157.86,407.3,1900.05
33,2019-12-30 14:00:00,167.84,158.61,428.27,1976.47
34,2019-12-30 13:00:00,167.58,157.86,428.27,2081.39
35,2019-12-30 12:00:00,167.0,156.96,428.27,2149.92
