,TIME,HHWS_TEMP,HHWR_TEMP,HHWFLOW,CHWS_TEMP,CHWR_TEMP,CHWFLOW,HHWMBH
0,2019-12-31 23:00:00,185.52,140.68,117.35,42.01,47.05,385.02,2630.99
1,2019-12-31 22:00:00,186.41,140.45,112.65,41.59,47.62,408.43,2588.7
2,2019-12-31 21:00:00,186.74,141.2,108.01,41.76,48.51,437.7,2459.39
3,2019-12-31 20:00:00,186.76,142.48,108.86,41.42,48.6,455.53,2410.16
4,2019-12-31 19:00:00,186.68,142.77,104.45,41.64,49.3,513.55,2293.2
5,2019-12-31 18:00:00,187.66,142.92,81.58,41.78,50.15,595.18,1824.94
6,2019-12-31 17:00:00,189.18,142.52,74.42,41.86,50.71,692.59,1736.22
7,2019-12-31 16:00:00,189.05,142.38,75.3,41.85,51.22,745.5,1757.13
8,2019-12-31 15:00:00,189.07,142.91,74.5,41.96,51.19,750.62,1719.46
9,2019-12-31 14:00:00,188.88,143.88,76.96,41.9,51.0,733.84,1731.6
10,2019-12-31 13:00:00,188.01,143.18,88.79,42.0,50.86,685.29,1990.23
11,2019-12-31 12:00:00,191.89,145.62,101.78,42.17,50.33,614.21,2354.68
12,2019-12-31 11:00:00,190.97,146.97,119.13,42.01,49.47,568.69,2620.86
13,2019-12-31 10:00:00,188.2,148.62,151.55,41.91,48.46,501.24,2999.17
14,2019-12-31 09:00:00,189.16,145.48,163.0,41.81,46.77,424.44,3559.92
15,2019-12-31 08:00:00,187.04,144.59,195.0,42.04,45.88,395.21,4138.87
16,2019-12-31 07:00:00,187.28,144.06,190.12,41.38,45.67,361.46,4108.49
17,2019-12-31 06:00:00,187.74,143.46,182.69,41.96,45.71,355.83,4044.76
18,2019-12-31 05:00:00,187.74,144.16,164.48,41.39,45.58,352.55,3584.02
19,2019-12-31 04:00:00,188.49,144.97,150.0,41.59,45.73,349.43,3264.0
20,2019-12-31 03:00:00,188.0,143.92,147.7,42.1,45.49,348.68,3255.31
21,2019-12-31 02:00:00,188.01,143.72,135.19,41.84,45.21,335.96,2993.78
22,2019-12-31 01:00:00,189.03,143.84,129.59,41.46,45.4,333.16,2928.09
23,2019-12-31 00:00:00,188.46,143.39,132.12,41.77,46.19,351.38,2977.32
24,2019-12-30 23:00:00,188.68,143.7,140.33,42.23,46.35,367.75,3156.02
25,2019-12-30 22:00:00,188.25,143.64,145.44,41.67,46.5,382.6,3244.04
26,2019-12-30 21:00:00,188.01,144.3,144.32,41.61,47.4,401.73,3154.11
27,2019-12-30 20:00:00,188.4,144.9,135.5,41.5,48.08,431.77,2947.12
28,2019-12-30 19:00:00,189.34,148.71,138.79,42.23,47.86,428.48,2819.52
29,2019-12-30 18:00:00,190.38,152.83,141.21,42.99,49.25,487.75,2651.22
30,2019-12-30 17:00:00,191.34,153.04,134.91,42.92,49.32,501.01,2583.53
31,2019-12-30 16:00:00,190.9,155.18,148.58,42.14,49.24,531.73,2653.64
32,2019-12-30 15:00:00,190.29,152.81,140.23,42.15,48.98,542.27,2627.91
33,2019-12-30 14:00:00,189.42,149.67,138.7,41.69,48.16,467.92,2756.66
34,2019-12-30 13:00:00,188.64,149.02,156.37,41.88,48.44,451.54,3097.69
35,2019-12-30 12:00:00,188.51,149.3,167.82,41.85,48.31,444.5,3290.11
36,2019-12-30 11:00:00,187.89,147.75,190.73,43.2,47.49,420.19,3827.95
37,2019-12-30 10:00:00,187.4,145.26,188.58,41.67,47.13,424.15,3973.38
38,2019-12-30 09:00:00,187.89,144.88,184.4,41.87,46.53,403.33,3965.52
39,2019-12-30 08:00:00,188.05,143.93,184.91,42.95,45.96,379.89,4079.11
40,2019-12-30 07:00:00,187.27,143.33,192.23,41.45,45.42,369.98,4223.29
41,2019-12-30 06:00:00,187.39,143.25,185.17,41.45,45.47,367.51,4086.7
42,2019-12-30 05:00:00,187.9,143.37,167.06,41.45,45.3,371.16,3719.59
43,2019-12-30 04:00:00,188.06,144.51,151.48,41.45,45.26,343.32,3298.48
44,2019-12-30 03:00:00,187.78,144.18,144.53,41.45,45.43,349.69,3150.75
45,2019-12-30 02:00:00,188.64,144.49,133.16,41.39,45.37,349.57,2939.51
46,2019-12-30 01:00:00,189.02,143.02,128.4,41.29,45.39,350.82,2953.2
47,2019-12-30 00:00:00,188.04,143.61,146.9,41.51,45.84,362.85,3263.38
48,2019-12-29 23:00:00,188.5,143.65,149.67,41.45,46.07,374.77,3356.35
49,2019-12-29 22:00:00,187.94,143.9,162.13,41.45,46.4,394.06,3570.1
50,2019-12-29 21:00:00,188.33,142.74,152.66,41.45,46.8,414.79,3479.88
51,2019-12-29 20:00:00,187.88,141.76,142.2,41.45,46.85,426.6,3279.13
52,2019-12-29 19:00:00,188.17,144.38,148.67,41.45,46.86,435.04,3255.13
53,2019-12-29 18:00:00,188.13,147.59,155.84,41.45,47.17,434.25,3158.88
54,2019-12-29 17:00:00,188.39,148.76,148.19,41.49,47.84,459,2936.38
